"data","tipo","local","gols","assistencias","duracao_min","meu_time","adversario","placar","resultado"
"2026-06-11","quinta","Quadra Catão Roxo","2","1","60","6","12","6-12","D"
"2026-06-06","pelada","R6 Society ","4","0","60","7","3","7-3","V"
"2026-06-03","quinta","Quadra Catão Roxo","2","0","60","7","11","7-11","D"
"2026-05-28","quinta","Quadra Catão Roxo","3","2","60","","","",""
"2026-05-21","quinta","Quadra Catão Roxo","1","2","60","","","",""
"2026-05-14","quinta","Quadra Catão Roxo","2","1","60","","","",""
"2026-05-07","quinta","Quadra Catão Roxo","2","1","60","","","",""
"2026-04-30","quinta","Quadra Catão Roxo","2","1","60","","","",""
"2026-04-16","quinta","Quadra Catão Roxo","2","1","60","","","",""
"2026-04-09","quinta","Quadra Catão Roxo","0","1","60","","","",""
"2026-04-02","quinta","Quadra Catão Roxo","2","0","60","","","",""
"2026-03-19","quinta","Quadra Catão Roxo","1","1","60","","","",""
"2026-03-12","quinta","Quadra Catão Roxo","4","1","60","","","",""
"2026-03-05","quinta","Quadra Catão Roxo","1","1","60","","","",""
"2026-02-26","quinta","Quadra Catão Roxo","0","0","60","","","",""
"2026-02-19","quinta","Quadra Catão Roxo","2","2","60","","","",""
"2026-02-12","quinta","Quadra Catão Roxo","1","1","60","","","",""
"2026-02-05","quinta","Quadra Catão Roxo","2","2","60","","","",""
